study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout
PRJNA229055	SAMN02404768	SRS505942	SRX381701	SRR1035873	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404768	SRS505942	SRX381701	SRR1035874	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404751	SRS505943	SRX381706	SRR1035875	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404751	SRS505943	SRX381706	SRR1035876	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404751	SRS505943	SRX381706	SRR1035877	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404751	SRS505943	SRX381706	SRR1035878	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404765	SRS505944	SRX381710	SRR1035879	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404765	SRS505944	SRX381710	SRR1035880	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404765	SRS505944	SRX381710	SRR1035881	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404763	SRS505945	SRX381713	SRR1035882	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404763	SRS505945	SRX381713	SRR1035883	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404763	SRS505945	SRX381713	SRR1035884	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404757	SRS505946	SRX381716	SRR1035885	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404757	SRS505946	SRX381716	SRR1035886	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404757	SRS505946	SRX381716	SRR1035887	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404758	SRS505947	SRX381719	SRR1035888	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404758	SRS505947	SRX381719	SRR1035889	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404758	SRS505947	SRX381719	SRR1035890	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404759	SRS505948	SRX381722	SRR1035891	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404759	SRS505948	SRX381722	SRR1035892	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404759	SRS505948	SRX381722	SRR1035893	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404753	SRS505949	SRX381725	SRR1035894	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404753	SRS505949	SRX381725	SRR1035895	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
PRJNA229055	SAMN02404753	SRS505949	SRX381725	SRR1035896	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED
