id	filename	md5	size	state
70e8323d-f3de-4382-8919-6fa5e70c3e98	53a74c26-a067-4e66-901d-d825f8f292c8.FPKM-UQ.txt.gz	c71cbd3d7ec5c3bdf2023c46987e3403	522164	released
f4fe18ed-14ff-4f1d-bc3e-b3b3666d1203	2b5ca104-2a13-47e6-9fd5-13aee4c5190a.FPKM-UQ.txt.gz	4a971c087428bfdb13c9dd78af7d2593	500553	released
6ab294b7-5e12-45af-80bf-b95e0279e38e	abb0a6a3-4a2f-4686-b9d0-41c40b94d170.FPKM-UQ.txt.gz	5dfebfd0eb1a401d13674dfc8fc549f1	500043	released
c622b1c6-f872-45ba-8a60-0787e6294cfa	ea161735-6a52-43dd-a665-3674046ef96c.FPKM-UQ.txt.gz	4ae52316c3a6e3d577cac7af9f7fc419	504794	released
96b69467-f623-490b-a2ce-1abbd99cc636	549a08ff-7895-4697-bb4f-a16104710057.FPKM-UQ.txt.gz	a41f6de7dfb480f769cd3c095c10ab78	511091	released
1dfae603-a424-41da-9cb0-3832cdb9e1d1	686d388d-92b0-43c7-a68b-71c6a26d19d3.FPKM-UQ.txt.gz	3059bf4751c04eb4d2d51f0e07993d63	491375	released
54d13e6b-db8f-4963-b019-fcc3d93995b5	302d3923-3985-4669-b68a-2d51d508bb8d.FPKM-UQ.txt.gz	e18155b914684371dc56212c2e79d767	499263	released
4511904d-4bf9-4480-8cd1-150daf0c1169	1c76c6df-dcb3-41fb-9972-ddfdc3121f63.FPKM-UQ.txt.gz	8391453c15221692c6386a0bdf13e3da	517171	released
5da78cda-afa0-4c19-ae33-1bc024032aed	863ecfcc-9de4-4cce-a728-989ed9a0aee3.FPKM-UQ.txt.gz	ae5f777075023b3d886a793e3dee92ae	486271	released
92cf2018-4f42-4c99-b023-f862e5a559f2	3189a475-b26f-491a-9223-201f36b2659e.FPKM-UQ.txt.gz	61d023cd1278c54f37f990f2da997327	506050	released
815f8596-173f-464d-9a07-5b9ed40be6ad	b70633b5-ea04-42bb-ac9c-9a8e5dd1cdcd.FPKM-UQ.txt.gz	b7070b1c91be5cd29a7e15e5655f26a0	503734	released
e5a18a29-24c4-4cc6-8cff-1f55747a97ea	ceb45712-475b-454a-baa2-6fa6bd561745.FPKM-UQ.txt.gz	e7d3ab87181db85bee848025a6fdbab6	507647	released
d3113919-32aa-4b28-9634-7772a047f923	99adb4be-c350-4965-873a-d8a0086f6815.FPKM-UQ.txt.gz	d321bd7b57c43f5c44cc73cf3b55d249	504584	released
686327ef-4707-4e5d-b52d-5ee1d0d63519	f9153720-86f1-4d70-b2a9-7b88dd365514.FPKM-UQ.txt.gz	3195903420436b17e835f2f3ee46966f	497930	released
f8f796af-d5a3-479e-a605-3eb305e97e67	9177b3c7-86c7-4eb8-a227-c6c33ee3451a.FPKM-UQ.txt.gz	865c635a60f99cba0180615fad454094	502985	released
1069f71b-e917-4c43-ab9b-2c20b316ea3c	404d4937-4038-41eb-a4cc-47820d4a2d3f.FPKM-UQ.txt.gz	da06e3c1d6937cfea8464536f3d53e37	505684	released
b9af784d-61d8-4924-8983-d9bdd44bc8f8	b529c21b-a6a7-4a2c-bc67-345aeb239c39.FPKM-UQ.txt.gz	ab523b56f8e94d7cf80d4961aaa6b497	527010	released
482b21f5-3a3d-41a0-9a36-7f2322889995	3479c3d9-935a-43a9-93c5-17e268c01fa8.FPKM-UQ.txt.gz	3dace2b2cc0b0b5641147fddfea86c7d	515120	released
1e67bfd0-732f-42be-83da-649c0906d644	1361dd18-8a88-428c-9576-d3a4a4265e68.FPKM-UQ.txt.gz	d58bbe56d5e51acbee2aac4c35e597be	492609	released
