portion_id	portion_submitter_id	case_id	case_submitter_id	project_id	sample_id	sample_submitter_id	state	portion_number	weight	is_ffpe
64296fb2-bf3d-4db2-8216-c6f47d1fdc13	TCGA-MP-A4TI-01A-11-A45A-20	f327dea0-2d30-482f-809c-76a148a749b7	TCGA-MP-A4TI	TCGA-LUAD	3e2f1a0a-b097-45b4-8cf4-92a38e134bc5	TCGA-MP-A4TI-01A	released	11	--	False
2a005755-738e-4ad3-b287-659100fc5dde	TCGA-MP-A4TI-01A-21	f327dea0-2d30-482f-809c-76a148a749b7	TCGA-MP-A4TI	TCGA-LUAD	3e2f1a0a-b097-45b4-8cf4-92a38e134bc5	TCGA-MP-A4TI-01A	released	21	30.0	False
da79406f-80aa-4264-a811-7d6d0c3ac459	TCGA-49-AAR0-01A-21	3afa5045-a1ee-4a07-8aad-2e252b2f7d7a	TCGA-49-AAR0	TCGA-LUAD	8fa41683-e16d-4f46-a3db-672c9f1b7823	TCGA-49-AAR0-01A	released	21	30.0	False
b4e492f9-250c-4d37-a2ba-daed1b3e1ce5	TCGA-49-AAR0-01A-31-A45A-20	3afa5045-a1ee-4a07-8aad-2e252b2f7d7a	TCGA-49-AAR0	TCGA-LUAD	8fa41683-e16d-4f46-a3db-672c9f1b7823	TCGA-49-AAR0-01A	released	31	--	False
e073feca-1da8-404b-8fb2-48a1bdaed7d3	TCGA-49-AAR0-11A-11	3afa5045-a1ee-4a07-8aad-2e252b2f7d7a	TCGA-49-AAR0	TCGA-LUAD	2369b01d-3a23-4d58-a22e-87ac80d40ec4	TCGA-49-AAR0-11A	released	11	30.0	False
8d457d6d-84a0-4c0a-804a-e99bdabeb448	TCGA-97-A4M3-01A-11	575752f8-2788-43cd-afde-f0f600f39d18	TCGA-97-A4M3	TCGA-LUAD	afd144f3-77bf-45fe-8d8b-eea4288c1d74	TCGA-97-A4M3-01A	released	11	30.0	False
bfabfa30-7690-4c32-82ee-40acba43d99d	TCGA-97-A4M3-10A-01	575752f8-2788-43cd-afde-f0f600f39d18	TCGA-97-A4M3	TCGA-LUAD	d9ee118d-eb55-41e5-a846-ba772958890f	TCGA-97-A4M3-10A	released	01	2.0	False
2d595335-60a7-4a44-8afd-1241b03650e5	TCGA-49-AARO-11A-11	5202458b-c38a-47c0-a0ba-5f1a59a762a0	TCGA-49-AARO	TCGA-LUAD	055c1c08-3f8e-4dfe-b508-41493dd21cba	TCGA-49-AARO-11A	released	11	30.0	False
6c9553d7-4764-4590-b620-90223dd0858f	TCGA-49-AARO-01A-12	5202458b-c38a-47c0-a0ba-5f1a59a762a0	TCGA-49-AARO	TCGA-LUAD	58084363-d165-44b9-9702-9a1e3732ee1b	TCGA-49-AARO-01A	released	12	30.0	False
8dd2e6e7-e560-47c9-8967-7f376b260524	TCGA-49-AARO-01A-22-A602-42	5202458b-c38a-47c0-a0ba-5f1a59a762a0	TCGA-49-AARO	TCGA-LUAD	58084363-d165-44b9-9702-9a1e3732ee1b	TCGA-49-AARO-01A	released	22	20.0	False
