mean.A	mean.B	delta	Pvalue.ttest	p.adjust.BH	Pvalue.wilcox	a.shapiro.pvalue	b.shapiro.pvalue
ABCB9|23457	231.512338194047	115.634115867624	115.878222326423	7.6635117020549e-36	5.96887552180915e-35	3.80350632657288e-20	9.07086051294076e-35	1.77586664622572e-13
ABCC10|89845	455.791946269717	359.247472766973	96.5444735027434	6.01770239158431e-17	1.93711896835399e-16	1.62611935653663e-07	1.76682437482185e-33	0.192174264618391
ABCC11|85320	1195.57866191011	1017.79283443324	177.785827476866	0.558638765751324	0.595627986063587	0.065918384360312	2.68429138933327e-48	1.82685595341855e-20
ABCC12|94160	35.5652644062287	10.7780241052026	24.7872403010261	4.00286000783138e-06	7.15565684116553e-06	0.0129855908426175	1.74703480931799e-54	1.03484563164978e-20
ABCC13|150000	66.3378561282215	0.991612173147486	65.346243955074	1.62783515125303e-21	6.59323012238625e-21	1.05070646540124e-09	7.69207389730045e-53	1.55695742716474e-17
ABCC1|4363	1400.45089624495	1123.21520339251	277.235692852441	4.05612075328358e-12	1.0079425706326e-11	1.40989606900434e-06	5.88756910290061e-32	8.11392623048084e-08
ABCC2|1244	41.7265820347883	53.1296677352937	-11.4030857005054	0.518523092040421	0.55661390790975	4.81616667850811e-17	6.6580971435509e-58	3.00443224206557e-21
ABCC3|8714	608.881556654508	520.962476888478	87.9190797660309	0.0672406240832841	0.0848817789629799	0.000347389419984233	5.99132535351351e-53	0.0287957584542656
ABCC4|10257	263.061779859606	181.905868078449	81.155911781157	0.00124227070950921	0.00185775074200113	0.320716802139922	3.54730271692298e-54	5.2087781082611e-18
ABCC5|10057	1670.83751150613	793.684436613252	877.15307489288	1.32430478138468e-58	2.28866173961354e-57	2.70587097472634e-16	3.75923393751735e-37	3.93163248468343e-05
ABCC6P1|653190	4.87958838320735	13.32870346121	-8.44911507800263	1.83680580133222e-13	4.89695622739278e-13	1.34677182331771e-32	2.2483962494822e-51	1.26372949448034e-08
ABCC6P2|730013	24.5420120374722	27.3404176743964	-2.79840563692428	0.145913716892019	0.175067468531442	1.4672940969279e-08	6.82108136153796e-43	2.90482913314945e-08
ABCC6|368	94.4430470232576	282.221089733637	-187.778042710379	3.78047398673383e-11	8.95028960120299e-11	1.46426586403535e-26	7.68788149228527e-42	3.34376275958406e-11
ABCC8|6833	218.252303408834	120.463244264433	97.7890591444011	5.0773114322254e-07	9.59785296151548e-07	0.534526025576853	1.55045256244842e-44	2.18471466517053e-14
ABCC9|10060	231.08850269776	1220.10814783051	-989.019645132747	1.22587670436286e-14	3.48642119646405e-14	3.10195615869238e-39	1.35228556881172e-39	1.86798408015906e-10
ABCD1|215	528.993395264501	357.042702211215	171.950693053285	3.81355069980443e-10	8.5879137235587e-10	5.4342775539918e-09	5.25308826930253e-44	2.21189727408587e-10
ABCD2|225	23.4236896835498	441.928586782316	-418.504897098766	1.72722216710512e-11	4.16020627790184e-11	2.67620344074398e-49	2.49998397484301e-43	1.93528566782479e-13
ABCD3|5825	2356.16841966805	1687.39093093783	668.777488730216	2.28005104283822e-20	8.71077930043014e-20	3.01063720782363e-06	2.91805210522746e-32	6.58620400460837e-06
ABCD4|5826	459.26085897674	668.479929213755	-209.219070237015	1.32779181082366e-33	9.41004268830533e-33	7.40590977083649e-33	9.30146897167653e-20	0.0112797843244696
ABCE1|6059	1741.24053566732	1589.57695777277	151.663577894556	0.00102442380244361	0.00154049989657729	0.139291875759146	6.28565406751614e-35	8.12099574229005e-07
ABCF1|23	1921.48277025775	1437.5132456039	483.969524653851	4.67074364200705e-36	3.6727321989294e-35	6.0233751064181e-20	2.11366178301651e-29	3.48411331113061e-10
ABCF2|10061	1413.50918368425	1108.24074857973	305.268435104524	3.74377855556631e-29	2.17067262141576e-28	6.88377671808345e-20	2.08967921817231e-29	3.98485674972881e-11
ABCF3|55324	1245.77428470768	871.561540550655	374.212744157024	6.96757712016958e-39	6.09507140409892e-38	7.84713903936666e-33	2.71681114250484e-26	0.000183219790915922
ABCG1|9619	1095.68159756116	602.395885475055	493.285712086105	3.6041516447824e-49	4.5230340720677e-48	5.84592594828579e-18	6.34280114039822e-29	9.97971905179754e-08
ABCG2|9429	84.7847977230455	251.983550620408	-167.198752897362	7.01772277320204e-19	2.49490677500625e-18	1.19049998628729e-45	3.55947505419881e-52	3.67074528190578e-12
ABCG4|64137	3.05232753535587	2.74989874388788	0.302428791467986	0.176830110708495	0.209045834223303	0.540692955259702	3.90052391779563e-54	1.07292255622912e-05
ABCG5|64240	1.98783147539706	1.98265950703403	0.00517196836302358	0.975510719780634	0.978871650736613	0.11802499398931	2.10774411754775e-44	2.00118603365883e-10
ABCG8|64241	0.816881405957444	3.06491583427219	-2.24803442831475	0.00207415046840619	0.00304065571344859	5.6032204053342e-10	1.45530405860599e-57	4.00262041356893e-19
ABHD10|55347	690.835865435717	673.659457615855	17.1764078198617	0.236466164515222	0.273453127388872	0.218574197169183	1.22437580799552e-32	1.0294819482609e-08
