	GSM2785932	GSM2785933	GSM2785934	GSM2785935	GSM2785936	GSM2785937	GSM2785938	GSM2785939	GSM2785940	GSM2785941	GSM2785942	GSM2785943	GSM2785944	GSM2785945	GSM2785946	GSM2785947	GSM2785948	GSM2785949	GSM2785950	GSM2785951	GSM2785952	tvalue	pvalue
CB_007266	-2.8772626	-2.0780163	-2.0096612	-1.0123634	-2.5249367	-2.0550122	-3.6217175	-2.9181395	-2.8087769	-2.4620752	-2.568449	-2.0686722	-2.8838344	-1.8437281	-2.280446	-1.8330188	-2.7056594	-2.598699	-2.1582017	-1.8054757	-4.325532	-5.85402984558651	0.000381033653601031
CB_008391	1.5343666	1.3050432	0.5384369	0.13401413	1.6496744	1.1781921	2.0198755	1.6734505	1.2948532	0.80458736	2.2290974	1.6748781	1.1129274	0.94474983	1.1025686	0.75139236	1.1297321	0.8727665	0.57240677	0.92943573	2.1064034	8.43705484683112	2.97182382676392e-05
CB_008663	0.88113403	1.5592537	2.1228695	2.59488	1.3655729	2.0176363	-0.06470585	0.6099539	1.5619001	1.8961048	2.1451035	2.3103771	1.0555143	1.9599094	1.3314371	2.0495577	1.5537376	2.3178864	2.2759132	2.3855934	-0.8184509	-7.76691395824712	5.39919136904504e-05
CB_008982	0.5714617	-0.001935005	0.7103596	0.37008858	0.23707199	-0.33059216	0.6982851	0.2991438	1.275217	0.8569622	0.9536953	0.41491508	1.0735064	0.6948986	0.82498074	0.3007946	0.81410027	0.63455963	0.95519066	0.8267536	0.59119606	10.0786965940793	8.00542800124766e-06
CB_009585	2.0926428	2.2581434	1.4130306	1.8007765	1.0967655	1.6720572	2.2686882	2.5712032	1.6829414	2.1965866	0.913538	1.3549452	1.8396482	2.1045036	1.937541	2.367465	2.6710472	2.7358036	1.8457489	2.3331232	2.7706623	-6.3430437431521	0.000222261483563885
CB_009676	3.5106525	3.2719812	2.3330536	1.1916561	3.1617975	2.5945597	3.3898087	2.862835	2.4803057	1.2570448	4.128269	3.3287096	2.8505926	2.4616623	2.3311605	1.4246368	3.0649853	2.5927238	1.4883595	1.761446	3.3526773	6.12452605194165	0.000281763093653957
CB_009774	-1.8671746	-1.321537	-1.9130859	-0.81916285	-1.8950081	-1.2504559	-2.3810182	-1.3637342	-1.6613197	-0.8293276	-2.3711395	-1.4133816	-0.9986162	-0.7410164	-1.2026081	-1.0424309	-0.97881603	-0.11569023	-1.5602736	-0.45561886	-1.058342	-6.40499670618994	0.000208022428903094
CB_009918	2.4652205	2.9156866	3.0197468	3.185112	3.0279112	3.3712912	2.533578	2.766202	3.023037	3.3812485	2.7029839	2.8008032	2.8714514	3.2834415	3.1463795	3.2765055	3.118456	3.2708435	2.8347034	2.5036888	2.505272	-5.89315466069801	0.000364548284789568
CB_010536	2.8965778	2.505742	2.4471073	1.7644691	2.609108	2.499322	2.7947865	2.4625025	3.2259598	2.9083433	2.8372593	2.6164036	3.0346594	2.7139158	2.8942213	2.663948	3.016489	2.7316513	2.7595835	2.3170242	2.3176527	6.09272887835155	0.000291800526839998
CB_010546	-0.2125454	0.6488352	0.16394997	0.8874512	-0.030587196	0.84420776	-0.18994427	0.3641615	0.5089197	1.1550541	-0.36820984	0.40411663	0.5496092	0.8574848	0.980464	1.0778885	-0.007871628	1.3011904	0.9343815	0.9025669	0.64395905	-5.87865266075388	0.00037056539416518
CB_011008	-1.2060394	-2.4438853	-2.4717717	-3.613914	-1.8537846	-2.5796933	-0.35719967	-1.5129595	-1.995781	-3.0236702	-0.19972134	-0.89421463	-2.4239788	-2.7987475	-2.9163642	-2.9781008	-3.189702	-3.7868013	-1.7076092	-2.746595	-2.1724715	5.87745505151707	0.000371067165063262
CB_014275	-3.8631568	-3.0021787	-2.702897	-2.453751	-3.554388	-3.2386246	-4.271766	-3.5967956	-3.6932034	-3.0043936	-3.7185864	-3.6081858	-4.2332935	-3.6686096	-3.2073717	-2.6030946	-3.59507	-3.3413563	-3.612144	-3.602088	-4.7951646	-5.66563396967763	0.000472782410940514
CB_016383	-1.1376572	-0.7380276	-0.32416534	0.18192863	-1.6045532	-1.1189384	-1.1074152	-0.52813816	-0.98509026	0.11856651	-1.6532793	-1.0341682	-1.2146215	-0.6149864	-0.6304245	-0.12032318	-0.46204185	-0.3842516	-0.3792076	-0.58727646	-0.5637369	-6.10934716444358	0.000286506336273766
CB_017309	-0.4179802	-0.12385082	-1.4862351	-0.66222954	-3.4426856	-1.361906	-1.8238287	0.12678242	-2.5031862	-1.1137152	-3.7989426	-2.5406275	-0.45593166	0.21855545	-1.7019196	-0.3494463	-0.7349987	-0.0493021	-1.6763496	-1.0654392	-1.5983748	-5.82368856950503	0.00039438297355732
CB_017311	-0.146595	0.25238705	-0.76323557	0.08491516	-1.1331406	-0.61581707	-0.93056965	0.42864513	-1.4482794	-0.90108204	-1.0815554	-0.52135086	-0.45938206	0.17996216	-1.0508661	-0.3738327	-0.118019104	0.34586906	-1.2013307	-1.3950157	-1.1436973	-6.90300247504863	0.000124151837178644
CB_018203	-0.22751045	0.08573151	-1.3688574	-0.09000397	-1.0964527	0.13038254	-1.6576891	0.0827322	-1.940989	-0.4957161	-2.4311419	-1.5753403	-0.14288235	0.18834019	-0.6651993	0.83631516	0.16806984	0.6529684	-1.727045	-0.26228142	0.33060646	-5.67042936522085	0.000470166105946947
CB_018592	-0.19565582	0.43636417	1.2273273	1.7859383	-0.07410145	1.1872349	0.010285378	0.41536808	0.8043871	1.5660973	0.23342228	0.3916235	0.5088644	1.2090149	0.75983334	1.3524761	0.86935616	1.2419949	0.5471287	0.75769234	-0.22762108	-5.88190810148777	0.000369205207990074
CB_019341	0.8556442	0.21204281	-0.24321651	-0.9414544	0.7106304	-0.34192944	1.4742708	0.49960423	0.6934395	-0.11667061	0.7191696	0.5335617	0.51902103	-0.37277222	0.44544315	-0.48066902	0.48701572	0.4862957	0.07942009	-0.15343094	1.4598761	5.67566887737122	0.000467325666931667
CB_021054	2.3537388	2.8027735	3.2202787	3.6390686	2.9822607	3.290616	2.4946375	2.6732206	2.7958126	3.3171844	2.8037395	2.9989996	2.653286	2.9411173	2.7559204	3.2258673	2.9245806	3.2259216	2.855219	3.1944036	2.1475306	-8.53625763254362	2.72942236101656e-05
CB_022549	-1.8326406	-1.3260164	-0.40220833	0.011640549	-1.4936419	-1.2125521	-2.505721	-1.7255607	-1.4193592	-1.0882006	-1.5725479	-1.2296371	-1.6835814	-1.1861315	-1.0091295	-0.5400429	-1.179184	-0.75629807	-1.3424239	-0.81395054	-1.6843271	-9.22317938137187	1.54718398890619e-05
CB_023206	-1.6383667	-1.1055918	-0.15106773	0.32711887	-1.1250648	-0.5797138	-2.4099135	-1.6933961	-1.4493136	-1.1424923	-1.1314735	-0.4744625	-1.8772688	-1.4231219	-0.9342327	0.16834164	-1.3214808	-1.1195707	-1.1418276	-0.82919407	-2.3903975	-6.41338653945355	0.000206172807399282
CB_023313	0.2384491	0.5507822	0.79680634	1.2719612	0.18419266	0.62283707	0.22515297	0.6318493	0.77206135	0.9893112	-0.010680199	0.2668743	0.70141983	0.83239555	0.6478014	0.750494	0.58062935	0.91913605	0.5077572	0.24704552	0.65459347	-6.85768114752306	0.000129973096327757
CB_023385	-0.12620163	0.18777752	0.75022125	0.8608303	0.87194824	1.0091076	-0.50509167	-0.083376884	-0.03869438	0.16836739	0.4970913	0.72247124	-0.2802601	-0.10832596	0.43710613	0.5983486	0.037830353	0.34446526	0.2065649	-0.13903236	-0.5713444	-6.80250060493996	0.000137472198990494
CB_023736	1.280611	1.708272	0.8891983	1.5260849	1.2594872	1.6893997	2.0393896	2.4580612	0.36910057	1.1615543	0.8631706	1.3019629	0.762125	0.86226654	0.57651424	1.2900782	0.8748646	1.2284164	0.5185261	0.56090546	2.1723099	-6.89314061333745	0.00012539353706806
CB_024203	-3.5690475	-3.0785475	-3.1030312	-2.6367807	-3.2265987	-3.0610037	-4.278171	-3.574133	-3.5878077	-2.8655834	-3.5565643	-3.0329018	-4.626651	-3.5406842	-3.9934268	-2.6012774	-3.4882736	-2.835032	-3.346074	-3.4429865	-5.188141	-5.72174221843161	0.000443144799617771
CB_024611	-3.6534748	-3.2528448	-3.4067268	-2.6457872	-3.862383	-3.1657333	-6.0173073	-4.2658854	-4.2527742	-3.17524	-3.9287257	-3.4146585	-4.110839	-3.1079855	-3.887476	-2.4930835	-4.794729	-2.8146029	-4.6570997	-0.97086525	-3.2703586	-5.83642305639721	0.000388718508474824
CB_024821	-5.1785088	-4.677168	-4.4485674	-2.6086674	-4.0808	-3.4120722	-5.500126	-4.9049172	-4.6081305	-2.8666878	-4.797516	-4.074739	-5.171851	-4.2166147	-5.147817	-3.6846795	-5.4317274	-3.921434	-4.0651007	-3.7807136	-4.9083996	-6.32578538752723	0.000226417288171775
CB_024912	-1.2562208	-0.5244398	0.18865395	0.6726208	-0.5815716	0.5984993	-1.6632185	-1.2537374	-1.4849715	-0.18082237	-0.8822937	-0.47982025	-0.67829037	-0.17128563	-0.6139765	0.17067909	-0.42800713	0.01997757	-0.78222656	-0.4621868	-0.63160896	-6.13252749835786	0.000279297614248814
CB_025582	-1.8564425	-2.5225534	-2.6721177	-3.491517	-2.1163015	-2.5039563	-1.0958014	-2.1065583	-3.1363926	-3.719719	-1.3415451	-1.6321201	-2.1394548	-3.2731133	-2.9034433	-3.5242796	-3.4678922	-3.7773986	-2.9269557	-2.1977139	-1.879365	6.50410358784693	0.000187292457487265
CB_025928	-1.1379547	-0.23069668	-0.7670679	0.11419201	-0.42459393	-0.124731064	-1.4444399	-1.2544413	-1.213954	-0.69755745	-0.61263657	-0.2834835	-0.9138737	-0.41397858	-0.7756796	-0.3715706	-1.1112576	-0.5035124	-0.5666027	-0.62746716	-1.4436083	-6.20834265246715	0.000257081640542176
