135	1	H1-hESC+HudsonAlpha+ATF3	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+ATF3,
136	1	H1-hESC+HudsonAlpha+BCL11A	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+BCL11A,
137	1	H1-hESC+HudsonAlpha+CTCF_(SC-5916)	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+CTCF_(SC-5916),
138	1	H1-hESC+HudsonAlpha+Egr-1	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+Egr-1,
139	1	H1-hESC+HudsonAlpha+FOSL1_(SC-183)	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+FOSL1_(SC-183),
140	1	H1-hESC+HudsonAlpha+GABP	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+GABP,
141	1	H1-hESC+HudsonAlpha+HDAC2_(SC-6296)	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+HDAC2_(SC-6296),
142	1	H1-hESC+HudsonAlpha+JunD	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+JunD,
143	1	H1-hESC+HudsonAlpha+NANOG_(SC-33759)	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+NANOG_(SC-33759),
144	1	H1-hESC+HudsonAlpha+NRSF	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+NRSF,
145	1	H1-hESC+HudsonAlpha+p300	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+p300,
146	1	H1-hESC+HudsonAlpha+Pol2-4H8	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+Pol2-4H8,
147	1	H1-hESC+HudsonAlpha+Pol2	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+Pol2,
148	1	H1-hESC+HudsonAlpha+POU5F1_(SC-9081)	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+POU5F1_(SC-9081),
149	1	H1-hESC+HudsonAlpha+Rad21	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+Rad21,
150	1	H1-hESC+HudsonAlpha+RXRA	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+RXRA,
151	1	H1-hESC+HudsonAlpha+Sin3Ak-20	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+Sin3Ak-20,
152	1	H1-hESC+HudsonAlpha+SIX5	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+SIX5,
153	1	H1-hESC+HudsonAlpha+SP1	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+SP1,
154	1	H1-hESC+HudsonAlpha+SP2_(SC-643)	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+SP2_(SC-643),
155	1	H1-hESC+HudsonAlpha+SP4_(V-20)	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+SP4_(V-20),
156	1	H1-hESC+HudsonAlpha+SRF	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+SRF,
157	1	H1-hESC+HudsonAlpha+TAF1	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+TAF1,
158	1	H1-hESC+HudsonAlpha+TAF7_(SC-101167)	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+TAF7_(SC-101167),
159	1	H1-hESC+HudsonAlpha+TCF12	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+TCF12,
160	1	H1-hESC+HudsonAlpha+TEAD4_(SC-101184)	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+TEAD4_(SC-101184),
161	1	H1-hESC+HudsonAlpha+USF-1	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+USF-1,
162	1	H1-hESC+HudsonAlpha+YY1_(SC-281)	n/a	n/a	n/a	3	n/a,n/a/,H1-hESC+HudsonAlpha+YY1_(SC-281),
163	h	HCT-116+HudsonAlpha+Pol2-4H8	n/a	n/a	n/a	3	n/a,n/a/,HCT-116+HudsonAlpha+Pol2-4H8,
164	h	HCT-116+HudsonAlpha+YY1_(SC-281)	n/a	n/a	n/a	3	n/a,n/a/,HCT-116+HudsonAlpha+YY1_(SC-281),
165	h	HCT-116+HudsonAlpha+ZBTB33	n/a	n/a	n/a	3	n/a,n/a/,HCT-116+HudsonAlpha+ZBTB33,
166	H	HeLa-S3+HudsonAlpha+GABP	n/a	n/a	n/a	3	n/a,n/a/,HeLa-S3+HudsonAlpha+GABP,
167	H	HeLa-S3+HudsonAlpha+NRSF	n/a	n/a	n/a	3	n/a,n/a/,HeLa-S3+HudsonAlpha+NRSF,
168	H	HeLa-S3+HudsonAlpha+Pol2	n/a	n/a	n/a	3	n/a,n/a/,HeLa-S3+HudsonAlpha+Pol2,
169	H	HeLa-S3+HudsonAlpha+TAF1	n/a	n/a	n/a	3	n/a,n/a/,HeLa-S3+HudsonAlpha+TAF1,
170	L	HepG2+HudsonAlpha+ATF3	n/a	n/a	n/a	3	n/a,n/a/,HepG2+HudsonAlpha+ATF3,
171	L	HepG2+HudsonAlpha+BHLHE40	n/a	n/a	n/a	3	n/a,n/a/,HepG2+HudsonAlpha+BHLHE40,
172	L	HepG2+HudsonAlpha+CEBPB_(SC-150)	n/a	n/a	n/a	3	n/a,n/a/,HepG2+HudsonAlpha+CEBPB_(SC-150),
173	L	HepG2+HudsonAlpha+CEBPD_(SC-636)	n/a	n/a	n/a	3	n/a,n/a/,HepG2+HudsonAlpha+CEBPD_(SC-636),
174	L	HepG2+HudsonAlpha+CTCF_(SC-5916)	n/a	n/a	n/a	3	n/a,n/a/,HepG2+HudsonAlpha+CTCF_(SC-5916),
175	L	HepG2+HudsonAlpha+ELF1_(SC-631)	n/a	n/a	n/a	3	n/a,n/a/,HepG2+HudsonAlpha+ELF1_(SC-631),
176	L	HepG2+HudsonAlpha+FOSL2	n/a	n/a	n/a	3	n/a,n/a/,HepG2+HudsonAlpha+FOSL2,
177	L	HepG2+HudsonAlpha+FOXA1_(SC-101058)	n/a	n/a	n/a	3	n/a,n/a/,HepG2+HudsonAlpha+FOXA1_(SC-101058),
178	L	HepG2+HudsonAlpha+FOXA1_(SC-6553)	n/a	n/a	n/a	3	n/a,n/a/,HepG2+HudsonAlpha+FOXA1_(SC-6553),
179	L	HepG2+HudsonAlpha+FOXA2_(SC-6554)	n/a	n/a	n/a	3	n/a,n/a/,HepG2+HudsonAlpha+FOXA2_(SC-6554),
180	L	HepG2+HudsonAlpha+GABP	n/a	n/a	n/a	3	n/a,n/a/,HepG2+HudsonAlpha+GABP,
181	L	HepG2+HudsonAlpha+HDAC2_(SC-6296)	n/a	n/a	n/a	3	n/a,n/a/,HepG2+HudsonAlpha+HDAC2_(SC-6296),
182	L	HepG2+HudsonAlpha+HNF4A_(SC-8987)	n/a	n/a	n/a	3	n/a,n/a/,HepG2+HudsonAlpha+HNF4A_(SC-8987),
183	L	HepG2+HudsonAlpha+HNF4G_(SC-6558)	n/a	n/a	n/a	3	n/a,n/a/,HepG2+HudsonAlpha+HNF4G_(SC-6558),
184	L	HepG2+HudsonAlpha+JunD	n/a	n/a	n/a	3	n/a,n/a/,HepG2+HudsonAlpha+JunD,
185	L	HepG2+HudsonAlpha+MBD4_(SC-271530)	n/a	n/a	n/a	3	n/a,n/a/,HepG2+HudsonAlpha+MBD4_(SC-271530),
186	L	HepG2+HudsonAlpha+MYBL2_(SC-81192)	n/a	n/a	n/a	3	n/a,n/a/,HepG2+HudsonAlpha+MYBL2_(SC-81192),
187	L	HepG2+HudsonAlpha+NFIC_(SC-81335)	n/a	n/a	n/a	3	n/a,n/a/,HepG2+HudsonAlpha+NFIC_(SC-81335),
188	L	HepG2+HudsonAlpha+NRSF	n/a	n/a	n/a	3	n/a,n/a/,HepG2+HudsonAlpha+NRSF,
189	L	HepG2+HudsonAlpha+V04+NRSF	n/a	n/a	n/a	3	n/a,n/a/,HepG2+HudsonAlpha+V04+NRSF,
